1	177	1	1
1	10	1	2
2	9	1	3
2	177	1	4
2	115	1	5
2	117	1	6
2	176	1	7
3	77	1	8
3	78	1	9
4	5	1	10
4	78	1	11
5	7	1	12
5	136	1	13
6	132	1	14
6	7	1	15
7	8	1	16
8	9	1	17
8	175	1	18
9	195	1	19
9	192	1	20
9	10	1	21
11	12	1	22
11	14	1	23
12	17	1	24
13	33	1	25
13	14	1	26
13	31	1	27
14	17	1	28
14	16	1	29
15	65	1	30
15	130	1	31
15	16	1	32
17	18	1	33
19	20	1	34
19	31	1	35
20	90	1	36
20	69	1	37
20	83	1	38
21	22	1	39
21	24	1	40
22	27	1	41
23	189	1	42
23	24	1	43
25	28	1	44
26	172	1	45
26	56	1	46
27	28	1	47
27	29	1	48
27	30	1	49
29	52	1	50
29	55	1	51
30	79	1	52
31	36	1	53
32	38	1	54
33	34	1	55
33	38	1	56
35	38	1	57
36	38	1	58
37	39	1	59
37	40	1	60
38	161	1	61
38	39	1	62
39	197	1	63
40	182	1	64
41	42	1	65
41	43	1	66
42	44	1	67
42	190	1	68
43	44	1	69
43	144	2	70
45	46	1	71
45	48	1	72
46	49	1	73
46	165	1	74
47	50	1	75
47	48	1	76
49	156	1	77
49	182	1	78
50	178	1	79
50	148	1	80
50	166	1	81
51	58	1	82
51	52	1	83
52	189	1	84
53	54	1	85
53	56	1	86
54	59	1	87
55	56	1	88
57	58	1	89
57	60	1	90
59	60	1	91
61	62	1	92
61	70	1	93
62	129	1	94
62	123	1	95
63	145	1	96
63	87	1	97
63	64	1	98
64	69	1	99
64	150	1	100
65	66	1	101
65	68	1	102
65	69	1	103
66	67	1	104
67	68	1	105
68	70	1	106
70	145	1	107
71	184	1	108
71	80	1	109
72	73	1	110
72	80	1	111
73	74	1	112
74	75	1	113
75	184	1	114
76	174	1	115
76	184	1	116
77	174	1	117
78	153	1	118
78	163	1	119
78	134	1	120
79	95	1	121
79	80	1	122
81	82	2	123
81	87	1	124
81	88	1	125
83	89	1	126
83	84	1	127
83	151	1	128
84	149	1	129
85	149	1	130
85	86	1	131
87	88	1	132
88	89	1	133
90	151	1	134
91	173	1	135
92	100	1	136
92	93	1	137
93	97	1	138
93	94	1	139
93	184	1	140
95	172	1	141
96	97	1	142
96	172	1	143
97	98	1	144
98	173	1	145
99	195	1	146
99	132	1	147
100	101	1	148
101	133	1	149
102	105	1	150
102	181	1	151
102	103	1	152
103	110	1	153
104	105	1	154
104	107	1	155
106	107	1	156
106	108	1	157
106	180	1	158
108	109	1	159
108	130	1	160
109	180	1	161
110	111	1	162
111	129	1	163
112	113	1	164
112	141	1	165
113	138	1	166
114	115	1	167
114	192	1	168
116	117	1	169
116	119	1	170
118	121	1	171
118	119	1	172
120	177	1	173
120	176	1	174
121	176	1	175
122	123	1	176
122	125	1	177
124	125	1	178
124	126	1	179
124	127	1	180
128	129	1	181
128	131	1	182
130	131	1	183
132	143	1	184
133	136	1	185
134	174	1	186
135	138	1	187
135	139	1	188
135	136	1	189
137	140	1	190
138	173	1	191
139	175	1	192
139	142	1	193
140	175	1	194
141	142	1	195
143	144	1	196
144	186	1	197
145	150	1	198
146	158	1	199
147	153	1	200
147	155	1	201
148	167	1	202
148	178	1	203
149	155	1	204
150	151	1	205
152	153	1	206
153	154	1	207
154	161	1	208
154	155	1	209
155	184	1	210
155	160	1	211
156	196	1	212
156	157	1	213
156	166	1	214
157	158	1	215
158	159	1	216
159	166	1	217
159	197	1	218
159	184	1	219
162	163	1	220
163	164	1	221
163	168	1	222
164	188	1	223
164	165	1	224
166	178	1	225
166	182	1	226
166	185	1	227
166	187	1	228
167	171	1	229
167	184	1	230
168	169	1	231
169	170	1	232
170	186	1	233
179	180	1	234
182	197	1	235
183	190	1	236
184	185	1	237
184	187	1	238
187	188	1	239
191	192	1	240
193	194	1	241
194	195	1	242
196	197	1	243
